id;close_price_1;close_price_2;i_0;avg;sd;z;signal;buy_price;sell_price;mtm;status
72;3261,6;1640,4;0,6873;0,68729;0,00005;-0,25451;;1641,2;3264,1;-1,76;Sell
73;3261,4;1640,4;0,6872;0,68729;0,00005;-1,46258;Buy;1641,2;3264,1;-1,26;Sell
74;3261,6;1640,4;0,6873;0,68728;0,00005;-0,05620;;1641,2;3264,1;-1,76;Sell
75;3262,3;1640,7;0,6873;0,68728;0,00005;0,54330;;1641,2;3264,1;-0,51;Sell
76;3263,1;1641;0,6874;0,68727;0,00003;2,89004;Sell;1641,2;3264,1;0,50;Sell
77;3262,1;1640,6;0,6873;0,68728;0,00005;0,60062;;1641,2;3264,1;-1,01;Sell
78;3262,1;1640,7;0,6872;0,68729;0,00004;-0,99774;;1641,2;3264,1;-0,01;Sell
79;3262,6;1640,8;0,6873;0,68728;0,00004;1,29844;Sell;1641,2;3264,1;-0,25;Sell
80;3263,4;1641,3;0,6873;0,68729;0,00004;-0,28339;;1641,2;3264,1;2,75;Sell
81;3262,6;1641;0,6872;0,68729;0,00004;-1,63177;Buy;1641,2;3264,1;1,75;Sell
82;3262,9;1641,1;0,6872;0,68729;0,00005;-0,71069;;1641,2;3264,1;2,00;Sell
83;3263,4;1641,5;0,6872;0,68728;0,00005;-2,40867;Buy;1641,2;3264,1;4,75;Sell
84;3264,4;1641,9;0,6872;0,68728;0,00006;-0,88908;;1641,2;3264,1;6,25;Sell
85;3264,1;1641,8;0,6872;0,68727;0,00006;-1,25406;Buy;1641,2;3264,1;6,00;Sell
86;3264,1;1641,7;0,6873;0,68726;0,00007;-0,10911;;1641,2;3264,1;5,00;Sell
87;3263,8;1641,5;0,6873;0,68725;0,00005;0,64319;;1641,2;3264,1;3,75;Sell
88;3264,4;1641,9;0,6872;0,68724;0,00005;-0,44069;;1641,2;3264,1;6,25;Sell
89;3264,4;1641,8;0,6873;0,68724;0,00005;0,79909;;1641,2;3264,1;5,25;Sell
90;3265,3;1642,2;0,6873;0,68724;0,00004;1,90886;Sell;1641,2;3264,1;7,00;Sell
91;3265,1;1642,3;0,6872;0,68724;0,00005;-1,00244;Buy;1641,2;3264,1;8,50;Sell
92;3265,3;1642,6;0,6871;0,68724;0,00005;-3,41326;Buy;;;11,00;TP
93;3265,4;1642,7;0,6870;0,68722;0,00007;-2,51067;Buy;3265,4;1642,7;;Buy
94;3264,4;1642,1;0,6871;0,68721;0,00009;-1,19781;Buy;3265,4;1642,7;3,50;Buy
95;3263,9;1641,9;0,6871;0,68719;0,00010;-1,32560;Buy;3265,4;1642,7;4,25;Buy
96;3264,1;1642;0,6871;0,68718;0,00010;-1,10010;Buy;3265,4;1642,7;3,75;Buy
97;3263,3;1641,5;0,6871;0,68716;0,00011;-0,33932;;3265,4;1642,7;6,76;Buy
98;3263,6;1641,7;0,6871;0,68715;0,00010;-0,51663;;3265,4;1642,7;5,51;Buy
99;3263,6;1641,7;0,6871;0,68714;0,00010;-0,40056;;3265,4;1642,7;5,51;Buy
100;3263,4;1641,4;0,6872;0,68712;0,00008;1,26241;Sell;3265,4;1642,7;8,01;Buy
101;3263,9;1641,6;0,6873;0,68711;0,00006;2,49966;Sell;3265,4;1642,7;7,25;Buy
102;3263,6;1641,7;0,6871;0,68711;0,00007;-0,23564;;3265,4;1642,7;5,51;Buy
103;3263,8;1641,6;0,6872;0,68712;0,00007;1,53975;Sell;3265,4;1642,7;7,00;Buy
104;3263,6;1641,6;0,6872;0,68714;0,00007;0,35178;;3265,4;1642,7;6,51;Buy
105;3263,4;1641,5;0,6872;0,68714;0,00007;0,26278;;3265,4;1642,7;7,01;Buy
106;3263,8;1641,6;0,6872;0,68715;0,00006;1,12316;Sell;3265,4;1642,7;7,00;Buy
107;3263,3;1641,3;0,6873;0,68717;0,00006;1,43592;Sell;3265,4;1642,7;8,76;Buy
108;3263,6;1641,3;0,6873;0,68718;0,00006;2,61281;Sell;3265,4;1642,7;9,51;Buy
109;3263,1;1641,3;0,6872;0,68720;0,00007;-0,17480;;3265,4;1642,7;8,26;Buy
110;3263,1;1641,3;0,6872;0,68721;0,00007;-0,33574;;3265,4;1642,7;8,26;Buy
